"Ảnh","Mã sản phẩm","Ngày cập nhật","Chủng loại","Lưu ý nhận sx 1c / sx hết tồn","","Tên sản phẩm","Nguyên Giá (bắt buộc)","Giá TMĐT","Giá TMĐT làm tròn","Giá KM","Mùa vụ","Tồn","Màu sắc","SIZE SỐ","Chất liệu","Mô tả sản phẩm","Hàng tặng","","BST mới","Biển","Nghệ sĩ","","","","","","","","","","","","","","","","","","","","","Sale CH",""
"","MG0VX6032","06/08/2026","Váy xoè","Không nhận sx 1c","","Orvellae","790.000","","","","Xuân hè 2026","0","TRẮNG","FREESIZE","Cotton Silk","Đầm Orvellae được làm từ chất liệu Cotton Silk kết hợp với dệt ren đanh tạo cảm giác thanh lịch , nữ tính , có chút quyền lực . Với điểm nhấn ở phần chun cổ chạy xuống tới ngang vai tạo cảm giác sang trọng , nhưng vẫn giữ được nét thanh lịch vì phom dáng váy là dáng xòe . Phần gấu váy kết hợp với thêu ren nổi , càng làm bộ trang phục trở nên bắt mắt hơn
Cấu tạo: Đóng cúc sau cổ. Phần cổ có co giãn do chạy chỉ chun
Độ co giãn: KHÔNG CO GIÃN
Kết cấu: 2 lớp","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0QD6101","06/08/2026","Quần dài ( Chiều dài qua gối trở xuống )","Không nhận sx 1c","","Piper","790.000","","","","Xuân hè 2026","1","NÂU","S,M","Tulle fabric","Sản phẩm Piper được làm từ chất liệu Tulle fabric hay còn gọi là Tuýt si Hàn , một loại chất liệu Bền, giữ phom tốt, ít nhăn, phù hợp cho môi trường công sở chuyên nghiệp . Giúp cho sản phẩm lên đúng phom dáng . Phom dáng ống côn cổ điển rất phù hợp cho các chị em dân văn phòng hay đi cà phê , đi dạo phố với bạn bè
Cấu tạo: Kéo khóa trước + Đóng cúc
Độ co giãn: Không co giãn
Kết cấu: 1 lớp","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AD6102","06/08/2026","Áo dài tay","Không nhận sx 1c","","Polly","690.000","","","","Xuân hè 2026","0","XANH","Free size","Raw Silk","ÁO SƠ MI THÔ KATE MẦU XANH NHẸ NHÀNG CHẤT LIỆU DẦY VỪA PHẢI TẠO ĐỘ ĐỨNG PHOM HƠN KHI MẶC ,TRƯỚC NGỰC CÓ TRANG TRÍ CÁC ĐƯỜNG XOÁY BÈO DÚM UYỂN CHUYỂN NHẸ NHÀNG NỮ TÍNH
Cấu tạo: ĐÓNG CÚC
Độ co giãn: Không co giãn
Kết cấu: 1 lớp","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AC6064","06/08/2026","Áo cộc tay","HẾT HÀNG","","Portia","590.000","","","","Xuân hè 2026","0","HỒNG CAM, KEM","Free size","Crinkle chiffon","ÁO CỘC TAY CHẤT XỐP GIẤY NHĂN , MỎNG NHẸ MÁT MẦU HỒNG CAM NHẸ NHÀNG TÔN DA PHÙ HỢP XU HƯỚNG CHO HÈ NÀY ,ÁO THIẾT KẾ TRANG TRÍ THÂN TRƯỚC ĐAN DÂY , CHẠY BÈO , THÂN SAU TRẦN CHỈ CHUN TOÀN LƯNG TẠO ĐỘ ÔM CO GIÃN THOẢI MÁI KHI MẶC ,CỔ VUÔNG
Cấu tạo: Áo chui đầu
Độ co giãn: CÓ CO GIÃN
Kết cấu: TT 2 LỚP 
TS 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AD6107","06/08/2026","Áo dài tay","Không nhận sx 1c","","Palin","690.000","","","","Xuân hè 2026","0","XANH","FREESIZE","Raw Silk","ÁO ĐƯỢC LÀM TỪ CHẤT LIỆU COTTON THÔ LỤA KẾT HỢP VỚI BẢN REN TRẮNG , TẠO NÊN MỘT SẢN PHẨM VỪA NỮ TÍNH VỪA SANG CHẢNH , KẾT HỢP ĐƯỢC VỚI NHIỀU ITEMS . BỀ MẶT VẢI KẺ TRENDY , MỀM MỊN RẤT THÍCH HỢP CHO CHỊ EM VĂN PHÒNG
Cấu tạo: ĐÓNG CÚC TRƯỚC
Độ co giãn: KHÔNG CO GIÃN
Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6109","06/08/2026","Áo dài tay","HẾT HÀNG","","Pamira","490.000","","","","Xuân hè 2026","0","KEM","S,M","Soft floral chiffon fabric","Thiết kế Pamira mang đến vẻ đẹp ngọt ngào và mộc mạc với chất liệu thô xước hoa nhí nhẹ tênh, thoáng mát, là người bạn đồng hành lý tưởng cho những ngày nắng đẹp. Những họa tiết hoa nhí xinh xắn kết hợp cùng bề mặt vải xước tự nhiên tạo nên điểm nhấn tinh tế, giúp nàng tôn lên nét nữ tính, trẻ trung mà vẫn vô cùng thoải mái trong mọi chuyển động. Với form dáng ôm nhẹ tôn đường cong cùng chi tiết cổ vuông cổ điển, Pamira không chỉ là lựa chọn hoàn hảo cho những chuyến du lịch biển mà còn giúp nàng chiếm trọn tâm điểm trong các buổi hẹn hò trà chiều sang chảnh
Cấu tạo: CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN
Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6113","06/08/2026","Áo cộc tay","HẾT HÀNG","","Piela","690.000","","","","Xuân hè 2026","","TRẮNG","FREESIZE","Piela","Đánh thức vẻ đẹp nàng thơ với thiết kế Piela đầy tinh khôi, nơi chất liệu boil ren cao cấp được thêu dệt tỉ mỉ để mang đến sự mềm mại và thoáng mát tuyệt đối cho làn da. Với form dáng bay bổng kết hợp giữa nét cổ điển của ren và tinh thần hiện đại, set đồ này chính là lựa chọn hoàn hảo cho những buổi trà chiều hay dạo phố cuối tuần, giúp nàng toát lên vẻ thanh lịch khó cưỡng trong từng chuyển động. Hãy để Piela đồng hành cùng nàng ghi lại những khoảnh khắc ngọt ngào nhất bằng cách nhắn tin cho chúng mình sở hữu ngay siêu phẩm này nhé
Cấu tạo: CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN
Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6116","06/08/2026","Set quần","HẾT HÀNG","","Ponira","790.000","","","","Xuân hè 2026","0","TIÊU, TRẮNG","S,M","Raw Silk","SET QUẦN DÀI ĐŨI SƯỚC KẾT HỢP ÁO LỆCH VAI CÁCH ĐIỆU DÚM VAI DÚM EO ,CHẤT LIỆU CÓ THẤM HÚT MỒ HÔI ,BỀ MẶT VẢI MỊN ĐƯỢC DỆT TỪ NHỮNG SỢI BÔNG SIÊU NHỎ TẠO CẢM GIÁC DÊ CHỊU
Cấu tạo: CHUI ĐẦU
Độ co giãn: KHÔNG CO GIÃN
Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AD6118","06/08/2026","Áo dài tay","Không nhận sx 1c","","Primy","750.000","","","","Xuân hè 2026","1","KEM","FZ","REN Corded Lace","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6119","06/08/2026","Set váy","HẾT HÀNG","","Prova","1.050.000","","","","Xuân hè 2026","0","KEM","s, m","Cloud Knit,Silk Chiffon","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VS6128","06/08/2026","Váy xoè","HẾT HÀNG","","Trinae","890.000","","","","Xuân hè 2026","0","TRẮNG KEM","FREE SIZE","Silk Voile, VOAN TƠ PHỐI REN","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6135","06/08/2026","Váy xoè","HẾT HÀNG","","Tracya","750.000","","","","Xuân hè 2026","0","KEM, HỒNG CAM","FS","VOAN TƠ, VOAN ĐŨI","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6138","06/08/2026","Set quần","HẾT HÀNG","","Trilae","1.350.000","","","","Xuân hè 2026","0","XANH","S,M","Embroidered chiffon, VOAN REN THÊU","Kết cấu: QUẦN 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6142","06/08/2026","Set quần","HẾT HÀNG","","Trimae","1.190.000","","","","Xuân hè 2026","0","BE","FS","ĐŨI LINEN","Kết cấu: 2 LÓP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6149","06/08/2026","Set váy","HẾT HÀNG","","Triya","1.390.000","","","","Xuân hè 2026","0","KEM","S, M","3D chiffon fabric","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6152","06/08/2026","Set váy","HẾT HÀNG","","Trisca","1.290.000","","","","Xuân hè 2026","0","XANH, KEM","S,M","Lightweight denim","Kết cấu: 2 LÓP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6153","06/08/2026","Váy xoè","Không nhận sx 1c","","Trisya","950.000","","","","Xuân hè 2026","0","BE, XANH GHI","S,M","Jersey fabric,Silk blend fabric","Kết cấu: 3 LÓP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AD6154","06/08/2026","Áo dài tay","Không nhận sx 1c","","Trilys","650.000","","","","Xuân hè 2026","0","KEM, XANH","FS","Heavy chiffon","Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6158","06/08/2026","Set quần","HẾT HÀNG","","Trilene","1.250.000","","","","Xuân hè 2026","0","KEM","S,M","Printed kate fabric","Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6159","06/08/2026","Set váy","Không nhận sx 1c","","Trinex","1.280.000","","","","Xuân hè 2026","0","XANH BE","S.M","Striped chiffon blend","Kết cấu: CV 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6178","06/08/2026","Set quần","HẾT HÀNG","","Faustine","1.050.000","","","","Xuân hè 2026","0","NÂUHỒNG","S,M","Crinkle chiffon","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6184","06/08/2026","Váy xoè","HẾT HÀNG","","Fara","980.000","","","","Xuân hè 2026","0","XANH","S,M","Rough Kate","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6183","06/08/2026","Set váy","HẾT HÀNG","","Fantine","990.000","","","","Xuân hè 2026","0","BE","S,M","Silk Voile","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6192","06/08/2026","Váy xoè","HẾT HÀNG","","Fiorael","2.100.000","","","","Xuân hè 2026","0","KEM","S,M,L","organza fabric","Kết cấu: VÁY 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6217","06/08/2026","Váy xoè","Không nhận sx 1c","","Clarina","1.390.000","","","","Xuân hè 2026","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6030","06/08/2026","Set váy","Không nhận sx 1c","","Orianae","950.000","","","","Xuân hè 2026","1","KEM","S,M","Vải visco, REN THÊU HOA NHÍ CAO CẤP TẠO PHOM THỜI TRANG NÊN SẼ TẠO CẢM GIÁC HƠI THÔ 1 CHÚT DO HIỆU ỨNG THÊU NHIỀU HOA TRÊN BỀ MẶT VẢI","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6075","06/08/2026","Áo dài tay","Không nhận sx 1c","","Olvina","850.000","","","","Xuân hè 2026","0","XANH NHẠT","FREESIZE","Kate Mỹ, áo thô dài tay phối cổ ren và các đường dây ren sắc nét 
hàng thấm hút mồ hôi nhẹ , chất mỏng nhẹ mát tay , mầu xanh dễ mặc không quá kén da","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SV6041","06/08/2026","Set váy","HẾT HÀNG","","Trima","1.450.000","","","","Xuân hè 2026","0","VÀNG","FS","Silk Chiffon, VOAN DẬP LY","Kết cấu: CV 2 LÓP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6139","06/08/2026","Váy xoè","HẾT HÀNG","","Trissa","980.000","","","","Xuân hè 2026","0","NÂU","S,M","Silk Cotton Fabric, VOAN THÔ MỀM","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VX6067","06/08/2026","Váy xoè","HẾT HÀNG","","Priva","950.000","","","","Xuân hè 2026","0","HỒNG","S,M","Scratched chiffon, Thiết kế Priva mang đến vẻ ngoài đầy lôi cuốn và bay bổng nhờ chất liệu Scratched chiffon (voan xước) cao cấp, với hiệu ứng bề mặt độc đáo tạo nên chiều sâu tinh tế cho trang phục. Với form dáng suông tầng xòe nhẹ kết hợp cùng tông màu hồng cam ngọt ngào, Priva không chỉ nâng niu làn da bằng sự mỏng nhẹ, thoáng mát mà còn giúp nàng toát lên nét dịu dàng, thanh thoát như một nàng thơ. Đây chính là người bạn đồng hành hoàn hảo cho những buổi dạo phố hay chuyến du lịch rực nắng, mang lại sự tự tin và thoải mái tuyệt đối trong từng bước chân","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AD6063","09/08/2026","Áo dài tay","Không nhận sx 1c","","Pola","650.000","","","","Xuân hè 2026","0","XANH","Free size","Raw Silk","Kết cấu: 1 lớp","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6211","06/08/2026","Váy xoè","HẾT HÀNG","","Felorae","1.680.000","","","","Xuân hè 2026","0","BECAM","S,M,L","raw silk","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6203","06/08/2026","Váy xoè","HẾT HÀNG","","Faraé","1.560.000","","","","Xuân hè 2026","0","KEM","S,M,L","raw silk","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6195","06/08/2026","Váy xoè","Không nhận sx 1c","","Fariné","1.760.000","","","","Xuân hè 2026","0","BE","S,M,L","raw silk","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6073","06/08/2026","Set váy","Không nhận sx 1c","","Prisca","1.290.000","","","","Xuân hè 2026","0","HỒNG KEM","FREE SIZE ","Len Alpaca , Double Faced chiffon, ÁO LEN TĂM , CHÂN VÁY VOAN LỤA","Kết cấu: ÁO 1 LỚP , CHÂN VÁY 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6201","06/08/2026","Váy xoè","Không nhận sx 1c","","Felinea","1.980.000","","","","Xuân hè 2026","0","HỒNG","S,M,L","raw silk","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6204","06/08/2026","Váy xoè","Không nhận sx 1c","","Farin","2.580.000","","","","Xuân hè 2026","0","HỒNG CAM","S,M,L","raw silk","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6230","06/08/2026","Váy xoè","HẾT HÀNG","","Corinne","1.190.000","","","","Xuân hè 2026","0","VÀNG, XANH","S,M","raw silk","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6237","06/08/2026","Váy xoè","HẾT HÀNG","","Celiae","1.290.000","","","","Xuân hè 2026","0","XANH","S,M","flowy floral-print chiffon","","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6108","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Pamel","450.000","","","","Xuân hè 2026","0","XANH, TRẮNG, VÀNG, HỒNG","FREESIZE","Cotton Pima","Áo Pamel mang đến sự thoải mái tuyệt đối cho ngày dài năng động nhờ chất liệu Cotton 100% tự nhiên, mềm mại và thấm hút mồ hôi cực tốt. Với thiết kế cổ tròn trẻ trung kết hợp cùng các chi tiết thêu gấu nhỏ xinh xắn, chiếc áo là sự hòa quyện hoàn hảo giữa nét đơn giản và sự ngọt ngào, giúp nàng dễ dàng phối cùng chân váy hay quần jeans để có một diện mạo đầy sức sống. Đây chắc chắn là item ""quốc dân"" không thể thiếu trong tủ đồ hằng ngày, vừa bền bỉ, an toàn cho làn da lại vừa giữ trọn phong cách trẻ trung cho người mặc
Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VS6121","06/08/2026","Váy suông","HẾT HÀNG","","Trivellex","800.000","","","","Xuân hè 2026","0","XANH, KEM","FZ","mesh lace,Silk Chiffon","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6122","06/08/2026","Váy xoè","Không nhận sx 1c","","Pysia","990.000","","","","Xuân hè 2026","0","HỒNG CAM","S, M","Crinkle Chiffon","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6123","06/08/2026","Váy xoè","HẾT HÀNG","","Pylin","790.000","","","","Xuân hè 2026","0","XANH, KEM","FS","Silk Voile, VOAN TƠ","Kết cấu: 2 LÓP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6040","06/08/2026","Set quần","Không nhận sx 1c","","Trise","1.250.000","","","","Xuân hè 2026","0","ĐEN, KEM","S,M","Crinkle Chiffon, VOAN ÓNG MÂY","Kết cấu: QUẦN 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AC6147","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Trionu","690.000","","","","Xuân hè 2026","0","ĐEN, ĐỎ","S,M","Crinkle Chiffon","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6148","06/08/2026","Váy xoè","Không nhận sx 1c","","Tristino","990.000","","","","Xuân hè 2026","0","ĐEN XÁM, BE","S,M","Jersey fabric,Silk blend fabric","Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6150","06/08/2026","Váy xoè","HẾT HÀNG","","Trilyn","950.000","","","","Xuân hè 2026","0","XANH","S,M","Jersey fabric,Silk blend fabric","Kết cấu: 3 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0AH6208","06/08/2026","Áo hai dây, Áo cụp ngực/ cosxe","HẾT HÀNG","","Fioraéa","750.000","","","","Xuân hè 2026","0","XANH GHI, KEM","FREESIZE","VOAN","Độ co giãn: raw silk
Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MRKVX6032","06/08/2026","Váy ôm","Không nhận sx 1c","TOP HOÀN CAO","Mona","850.000","","","","Xuân hè 2026","50","ĐỎ","S,M,L","Taffta Silk crepe","Váy ôm, 2 lớp, khóa sau, SIZE S M L,
dài váy s=79cm,m=80cm.l=81cm
Độ co giãn: không co giãn","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MGOAC6011","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Maris","295.000","","","","Xuân hè 2026","147","TRẮNG","S,M,L","Cotton Pima","Áo thun in hình (s-m-l)
""áo phông cotton 80% co giãn nhẹ nhàng thấm hút mồ hôi
Độ co giãn: co giãn nhẹ","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
